text,text_length,x,y
I need to hear the song Aspro Mavro from Bill Szymczyk on Youtube,65,-2.8058152,-0.73401374
play Yo Ho from the new york pops on Youtube,44,-3.415933,-0.42953822
Play some seventies music by Janne Puurtinen on Youtube.,56,-3.4998798,-0.52632856
play the Musica Da Serie De Filmes O Hobbit album by Alex Otaola,64,-1.6382034,-1.0047433
Play Magic Sam from the thirties,32,-3.0352597,-1.015567
Play The Soft Parade.,21,-1.1064255,-0.6565215
Play music by blowfly from the seventies,40,-3.9927368,-1.0454055
play Jeff Pilson on Youtube,27,-3.3675673,-0.38481063
play a tune by Syreeta Wright from twenties from the top,56,-3.2133853,-1.5790366
Please play me Jerry Lee Lewis's If You Say So track.,53,-2.3718586,-2.0818336
play the newest by Exuma,24,-1.9354151,-0.83734953
Play the album alas y raices by Dave Pybus.,43,-1.5681082,-0.7887984
play music by Helen Ward,24,-3.3675158,-1.4596589
Play some sixties music.,24,-4.0283203,-1.0418634
Plan an album by Roni Duani.,28,-0.880948,-0.90402865
I want to listen to Born On The Bayou on Iheart,47,-2.513563,-0.47817197
Play the best music by Arthur Johnston.,39,-3.1697319,-1.2063962
Play the song gangsta? by Siavash Ghomayshi,43,-2.4858274,-1.2055827
Play Lukasz Gottwald album on Zvooq,35,-2.692647,-1.8280016
Play me some music by Prince Alla from the twenties,51,-3.9170125,-1.452256
Play the newest 2016 ep from Boaz Mauda.,40,-2.665593,-0.91023713
play Escapada,13,-1.6162906,-1.7317461
"I'd like to hear music from 1951, preferably a soundtrack.",58,-2.6220658,-0.39066455
Play 2003 Ben Burnley on Spotify,32,-2.7250957,-2.5518012
Play Marche Lorraine by Rachael Lampa,37,-2.1201158,0.32566884
Play some soul music,20,-3.831954,-1.7252449
Play Robin Hood Rescuing Three Squires by Bhupinder Singh,57,-1.1031238,-0.98016644
Play the top-5 songs from Paddy Reilly on zvooq,47,-2.711613,-1.8065101
Open Groove Shark and play native us,36,-3.1608267,-3.5736232
play chant by Prurient,22,-4.7356696,-0.73000956
play Shake Your Head,20,-1.8700746,-2.1394928
Play Justin Broadrick's music on Slacker.,41,-3.899129,-1.599034
Play some 1954 songs on my Itunes.,34,-4.2652535,-1.9174908
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm.,54,-3.10476,-0.89693224
play laura love songs from 1959,31,-3.3010888,-1.2794416
Play Inside The Eye by twinkie clark,36,-1.7293158,2.7895155
Play Goa music on Google Music.,31,-4.33079,-1.4888186
Play The Way It Has To Be by Tom G Warrior on Zvooq,51,-2.4396155,-1.7082472
Play some nineties chant music from Nicoleta Nicola,51,-4.7109957,-0.71594465
"Play Alone, Again from Mike Viola",33,-2.6786563,-1.2204102
open Spotify and play a couple of celtic songs,46,-3.28988,-2.7475069
Play a concerto by Thekra.,26,-3.6259599,-1.9174684
play The Trail Of The Lonesome Pine on Netflix,46,-4.4254856,0.20889373
Please play the newest music by Evil Jared Hasselhoff,53,-3.3336105,-1.3564302
Play Noctambulo pl,18,-1.4187719,-2.1512823
Open up Lastfm and play some songs.,35,-3.6228247,-2.1256924
Can you play a top 5 song by Manos Hadjidakis,45,-2.5914633,-1.4082377
Play sixties on Spotify,23,-3.9777899,-0.97562015
Play music by Antonella Barba from the album Bath,49,-2.0378714,-1.4279583
Play melody music from the fourties.,36,-3.6735961,-1.4614598
Play some Katiejane Garside on Vimeo.,37,-2.6224337,-1.9556704
Play me a top-ten song by Phil Ochs on Groove Shark,51,-3.09094,-3.2783878
Play Out From Under from Hurricane Chris,40,-3.3477354,-1.7253451
Play a sound track by Pee Wee Russell on Zvooq.,47,-2.9031687,-2.387595
Play One Way Ticket by Ray Kennedy.,35,-2.2095013,3.1645865
Play my entertaining playlist,29,-1.1691744,-3.1737168
Will you pull up my Jueves de Antano playlist,45,-0.56873155,-1.8261254
Play some eighties movement music,33,-4.0320435,-1.0869231
Use Spotify to play me music,28,-3.3338637,-2.816568
use Deezer to play top five Moya Brennan,40,-3.6974955,-2.507531
I'd like to hear Nas's greatest ballad,38,-2.5437932,-0.5330783
Open Netflix and find a movie with the song heartful,52,-4.364319,0.18991591
PLay some fourties music from Erin Harkes,41,-3.5231953,-1.4980313
Play dhafer youssef top-twenty on netflix,41,-4.413972,0.1820635
I'd like to play the top ten Mickdeth on Google Music,53,-3.813935,-1.5514303
play music by Don Reno,22,-3.9371722,-1.6450365
Play some Last Fm music like the 1992 ep from Peaches,53,-3.4906864,-1.985855
Play some indie music on spotify.,33,-3.3630474,-2.7603712
Play a cohesive playlist for me,31,-0.6479616,-3.0572042
Play 1966 theme music on Slacker.,33,-4.061104,-1.4532423
Play some jpop on Google Music.,31,-4.3590207,-1.4904599
Play music from 2002,20,-3.8253918,-1.693155
play Lastfm pop tunes,21,-3.7098124,-2.1871614
play a concerto that was most popular in 1958 by mickey hart,60,-3.2820373,-0.9417409
Let me listen to Rouhollah Khaleghi on deezer.,46,-2.3222349,-0.40611166
Please play music from Itunes,29,-4.373852,-2.0642927
Play me the most popular Peja song on Slacker,45,-2.707799,-1.5202255
Play my 70s Smash Hits playlist.,32,-1.9047471,-3.2353597
Play me a song from the fourties,32,-2.9898322,-1.1922976
Play celtic music,17,-3.8094175,-1.6727709
play Moustapha Amar Make It Rain,32,-1.5340785,-1.9822413
I want to hear a top ten soundtrack from 1984 by Shinehead,58,-2.651563,-0.16768925
Play the 1951 ballad,20,-3.7756684,-0.85433835
I want to hear Dave Seaman's ep,31,-2.278992,-0.47667268
Play music from artist Ashley,29,-3.426132,-1.3915857
play Miguelito top charting album,33,-0.63335925,-1.4188119
I want to hear Papa Mali's songs from the fifties,49,-2.7259958,-0.68475246
play some tango on iheart,25,-3.089113,-1.0117078
Play jazz music by Zvooq,24,-2.8989096,-2.0221605
play songs by Wise,18,-2.786304,-1.3608662
Play music from the eighties on Slacker.,40,-3.9562793,-1.5777216
I want to hear Ready by Frankenstein Drag Queens From Planet 13,63,-2.558533,-0.16697104
Play a song from the seventies by Pepe Aguilar,46,-3.6954017,-1.0221987
Play something by Brian Chase.,30,-2.3142905,-1.9351391
open Fadl Shaker on Spotify and play a melody starting with the newest,70,-2.3468966,-2.037599
Play a Scott Lafaro soundtrack,30,-2.9563744,-0.24978782
play songs from the sixties,27,-3.948541,-0.93912023
Play a tune from Space Mandino.,31,-2.8482232,-1.9128175
Open Vimeo and paly every song released in 1986,47,-2.9728444,-2.0993783
Find me music by Kaori Utatsuki off the album that has top-twenty hits,70,-1.5038779,-0.060812328
Play my playlist TGIF on itunes,31,-4.2909303,-2.0691736
Play some thrash metal.,23,-0.33439657,-3.0465271
play a top-10 ballad from 1995,30,-3.5043929,-0.8575471
Play ballad from Mandy Moore,28,-3.4464717,-0.8332607
Play movement music from Sheryfa Luna,37,-3.306202,-1.2729536
Play the artist Joe,19,-1.743216,-1.9192582
play some Prabha Atre,21,-1.986983,-1.485253
Play ballad music by Jeff Lynne.,32,-3.4315696,-0.8940985
Play me a 1957 ep,17,-3.158604,-1.0554643
Play Pease Porridge Hot by Johnny Vicious on Zvooq,50,-2.2123926,-1.8586006
play a 1994 tune by Lena Horne,30,-3.2469597,-1.1984926
Play a tune by Houston on Spotify,33,-3.3369722,-2.8279848
Play a top fifty track from the twenties,40,-2.8081758,-2.5343027
Play Sense Tu from Ebi Hamedi,29,-2.081026,-1.1166081
play a good John Maher record with Netflix,42,-4.4030423,0.17724234
"use netflix to play Bizzy Bone Kiss Me Goodnight, Sergeant Major",64,-3.9284418,0.18986973
Play music from 1969 on lastfm .,32,-3.692976,-2.1008546
play something from 1981,24,-3.579686,-1.4254404
play Heavy Machinery by Phil Spector on Zvooq,45,-2.8179133,-2.0939367
Play i believe from Chico Buarque off of iheart,47,-2.9517417,-0.9903694
Play some symphonic rock.,25,-3.4195528,-1.6330659
Play some twenties chant music on Slacker,41,-4.3792005,-1.1449836
Play some songs from the fifties,32,-3.962568,-1.0399114
Play a song by Electric Tones from their Kurutta Taiyo album on Last Fm,71,-2.775818,-1.6283365
